x1,x2,x3,temp_real,tiempo_real,conc_real,pureza
-1,-1,-1,60,30,2,78.2
-1,-1,0,60,30,3,82.5
-1,-1,1,60,30,4,79.8
-1,0,-1,60,45,2,83.4
-1,0,0,60,45,3,89.1
-1,0,1,60,45,4,85.6
-1,1,-1,60,60,2,80.7
-1,1,0,60,60,3,86.3
-1,1,1,60,60,4,82.9
0,-1,-1,75,30,2,82.1
0,-1,0,75,30,3,86.4
0,-1,1,75,30,4,83.7
0,0,-1,75,45,2,88.5
0,0,0,75,45,3,94.2
0,0,1,75,45,4,90.8
0,1,-1,75,60,2,85.3
0,1,0,75,60,3,91.6
0,1,1,75,60,4,87.4
1,-1,-1,90,30,2,76.8
1,-1,0,90,30,3,81.2
1,-1,1,90,30,4,78.5
1,0,-1,90,45,2,83.6
1,0,0,90,45,3,88.9
1,0,1,90,45,4,85.2
1,1,-1,90,60,2,79.4
1,1,0,90,60,3,84.7
1,1,1,90,60,4,81.3
