x1,x2,x3,agua_real,cemento_real,arena_real,resistencia
-1,-1,-1,140,300,600,22.1
-1,-1,0,140,300,700,24.8
-1,-1,1,140,300,800,23.5
-1,0,-1,140,350,600,27.3
-1,0,0,140,350,700,30.6
-1,0,1,140,350,800,28.9
-1,1,-1,140,400,600,31.8
-1,1,0,140,400,700,35.2
-1,1,1,140,400,800,33.4
0,-1,-1,170,300,600,25.6
0,-1,0,170,300,700,28.3
0,-1,1,170,300,800,26.9
0,0,-1,170,350,600,32.1
0,0,0,170,350,700,38.7
0,0,1,170,350,800,35.4
0,1,-1,170,400,600,36.5
0,1,0,170,400,700,42.8
0,1,1,170,400,800,39.1
1,-1,-1,200,300,600,21.4
1,-1,0,200,300,700,23.8
1,-1,1,200,300,800,22.6
1,0,-1,200,350,600,27.9
1,0,0,200,350,700,31.5
1,0,1,200,350,800,29.3
1,1,-1,200,400,600,30.2
1,1,0,200,400,700,34.6
1,1,1,200,400,800,31.8
